"Date","Price","Open","High","Low","Vol.","Change %"
"10/12/2023","33,060","32,865","33,075","32,865","3.85M","1.13%"
"10/11/2023","32,690","32,595","32,925","32,590","4.06M","1.68%"
"10/10/2023","32,150","32,405","32,665","32,130","3.12M","0.23%"
"10/09/2023","32,075","32,075","32,075","32,075","","0.00%"
"10/06/2023","32,075","32,060","32,225","32,005","2.84M","0.19%"
"10/05/2023","32,015","32,235","32,260","32,000","5.74M","0.03%"
"10/04/2023","32,005","32,480","32,480","31,990","5.84M","-2.65%"
"09/27/2023","32,875","32,620","32,875","32,595","2.79M","0.24%"
"09/26/2023","32,795","33,230","33,240","32,760","7.53M","-1.31%"
"09/25/2023","33,230","33,105","33,295","33,055","2.25M","0.09%"
"09/24/2023","33,200","33,200","33,200","33,200","","0.00%"
"09/22/2023","33,200","33,005","33,290","32,930","3.35M","-0.36%"
"09/21/2023","33,320","33,715","33,780","33,315","3.94M","-1.75%"
"09/20/2023","33,915","33,900","34,025","33,825","2.78M","-0.01%"
"09/19/2023","33,920","34,250","34,250","33,870","1.68M","-0.76%"
"09/18/2023","34,180","34,325","34,490","34,175","1.93M","-1.20%"
"09/15/2023","34,595","34,190","34,725","34,170","3.68M","1.30%"
"09/14/2023","34,150","33,770","34,150","33,755","2.45M","1.41%"
"09/13/2023","33,675","33,650","33,835","33,570","2.66M","0.07%"
"09/12/2023","33,650","33,940","33,970","33,630","2.35M","-0.52%"
"09/11/2023","33,825","33,745","33,845","33,625","1.63M","0.28%"
"09/10/2023","33,730","33,730","33,730","33,730","","0.00%"
"09/08/2023","33,730","33,725","33,740","33,480","1.32M","0.15%"
"09/07/2023","33,680","33,755","33,855","33,600","1.19M","-0.50%"
"09/06/2023","33,850","34,025","34,125","33,815","1.29M","-0.70%"
"09/05/2023","34,090","34,040","34,195","34,010","1.04M","-0.10%"
"09/04/2023","34,125","34,010","34,125","33,850","1.54M","0.63%"
"09/01/2023","33,910","33,485","33,970","33,475","3.94M","1.00%"
"08/31/2023","33,575","33,630","33,675","33,430","1.03M","0.04%"
"08/30/2023","33,560","33,790","33,825","33,560","1.47M","0.30%"
"08/29/2023","33,460","33,470","33,515","33,350","1.40M","0.47%"
"08/28/2023","33,305","33,290","33,340","33,160","1.51M","0.68%"
"08/25/2023","33,080","32,980","33,210","32,960","1.67M","-1.09%"
"08/24/2023","33,445","33,345","33,465","33,300","2.23M","1.36%"
"08/23/2023","32,995","32,905","33,085","32,855","2.28M","-0.21%"
"08/22/2023","33,065","33,135","33,290","32,935","3.05M","0.39%"
"08/21/2023","32,935","32,985","33,175","32,900","2.40M","0.08%"
"08/20/2023","32,910","32,910","32,910","32,910","","0.00%"
"08/18/2023","32,910","32,700","33,090","32,655","4.39M","-0.53%"
"08/17/2023","33,085","32,980","33,085","32,655","4.40M","-0.30%"
"08/16/2023","33,185","33,435","33,445","33,140","2.76M","-1.50%"
"08/15/2023","33,690","33,690","33,690","33,690","","0.00%"
"08/14/2023","33,690","33,890","34,000","33,585","1.82M","-0.90%"
"08/13/2023","33,995","33,995","33,995","33,995","","0.00%"
"08/11/2023","33,995","34,175","34,370","33,975","1.90M","-0.32%"
"08/10/2023","34,105","34,005","34,105","33,970","2.38M","-0.32%"
"08/09/2023","34,215","33,900","34,295","33,895","2.56M","1.09%"
"08/08/2023","33,845","34,250","34,290","33,770","2.34M","-0.84%"
"08/07/2023","34,130","34,040","34,380","34,000","1.84M","-0.25%"
"08/06/2023","34,215","34,215","34,215","34,215","","0.00%"
"08/04/2023","34,215","34,275","34,320","34,110","2.65M","0.01%"
"08/03/2023","34,210","34,450","34,555","34,080","2.29M","-0.67%"
"08/02/2023","34,440","34,975","35,015","34,395","2.04M","-2.17%"
"08/01/2023","35,205","34,720","35,210","34,715","2.62M","1.65%"
"07/31/2023","34,635","34,685","34,800","34,565","2.41M","0.45%"
"07/30/2023","34,480","34,480","34,480","34,480","","0.00%"
"07/28/2023","34,480","34,415","34,535","34,225","2.15M","-0.45%"
"07/27/2023","34,635","34,330","34,680","34,260","3.02M","1.21%"
"07/26/2023","34,220","34,655","34,720","34,165","3.13M","-1.30%"
"07/25/2023","34,670","34,680","34,760","34,445","2.25M","0.17%"
"07/24/2023","34,610","34,365","34,725","34,215","2.63M","0.65%"
"07/23/2023","34,385","34,385","34,385","34,385","","0.00%"
"07/21/2023","34,385","34,100","34,385","33,895","2.30M","0.10%"
"07/20/2023","34,350","34,230","34,485","34,200","1.91M","-0.30%"
"07/19/2023","34,455","34,685","34,710","34,350","2.18M","-0.12%"
"07/18/2023","34,495","34,810","34,850","34,460","2.72M","-0.65%"
"07/17/2023","34,720","34,670","34,865","34,635","1.90M","-0.39%"
"07/16/2023","34,855","34,855","34,855","34,855","","0.00%"
"07/14/2023","34,855","34,540","34,855","34,450","3.30M","1.51%"
"07/13/2023","34,335","34,320","34,455","34,295","2.31M","0.79%"
"07/12/2023","34,065","33,850","34,070","33,750","1.33M","0.65%"
"07/11/2023","33,845","33,475","33,845","33,440","1.85M","1.84%"
"07/10/2023","33,235","33,340","33,505","33,185","2.37M","-0.17%"
"07/09/2023","33,290","33,290","33,290","33,290","","0.00%"
"07/07/2023","33,290","33,575","33,580","33,185","4.21M","-1.42%"
"07/06/2023","33,770","34,010","34,020","33,730","2.39M","-0.76%"
"07/05/2023","34,030","34,300","34,430","34,030","2.01M","-0.95%"
"07/04/2023","34,355","34,475","34,525","34,335","3.06M","-0.39%"
"07/03/2023","34,490","34,085","34,515","34,085","2.66M","1.56%"
"07/02/2023","33,960","33,960","33,960","33,960","","0.00%"
"06/30/2023","33,960","33,870","34,050","33,620","2.90M","0.30%"
"06/29/2023","33,860","33,965","34,175","33,860","2.16M","-0.01%"
"06/28/2023","33,865","34,175","34,175","33,805","2.35M","-0.54%"
"06/27/2023","34,050","34,000","34,070","33,885","1.87M","-0.04%"
"06/26/2023","34,065","33,840","34,100","33,805","1.14M","0.50%"
"06/23/2023","33,895","34,195","34,225","33,855","2.56M","-0.48%"
"06/22/2023","34,060","33,910","34,180","33,895","1.40M","0.25%"
"06/21/2023","33,975","34,230","34,235","33,960","1.96M","-0.93%"
"06/20/2023","34,295","34,260","34,340","34,155","1.65M","-0.17%"
"06/19/2023","34,355","34,445","34,490","34,260","1.23M","-0.55%"
"06/16/2023","34,545","34,555","34,575","34,350","2.59M","0.48%"
"06/15/2023","34,380","34,585","34,700","34,340","2.62M","-0.35%"
"06/14/2023","34,500","34,670","34,710","34,435","2.43M","-0.49%"
"06/13/2023","34,670","34,705","34,785","34,575","2.71M","0.48%"
"06/12/2023","34,505","34,810","34,855","34,420","2.13M","-0.65%"
"06/09/2023","34,730","34,450","34,780","34,340","2.82M","1.33%"
"06/08/2023","34,275","34,215","34,300","34,100","2.10M","-0.13%"
"06/07/2023","34,320","34,495","34,580","34,320","2.42M","-0.22%"
"06/06/2023","34,395","34,395","34,395","34,395","","0.00%"
"06/05/2023","34,395","34,500","34,515","34,345","3.80M","0.29%"
"06/04/2023","34,295","34,295","34,295","34,295","","0.00%"
"06/02/2023","34,295","34,080","34,295","34,050","3.15M","1.28%"
"06/01/2023","33,860","33,925","34,020","33,780","2.50M","-0.32%"
"05/31/2023","33,970","34,170","34,300","33,970","1.88M","-0.72%"
"05/30/2023","34,215","34,100","34,225","34,030","2.83M","1.35%"
"05/26/2023","33,760","33,700","33,865","33,635","2.74M","0.34%"
"05/25/2023","33,645","33,840","33,865","33,565","2.10M","-0.09%"
"05/24/2023","33,675","33,600","33,810","33,590","1.59M","-0.37%"
"05/23/2023","33,800","33,815","33,920","33,715","2.28M","0.30%"
"05/22/2023","33,700","33,485","33,840","33,425","1.76M","0.64%"
"05/21/2023","33,485","33,485","33,485","33,485","","0.00%"
"05/19/2023","33,485","33,260","33,505","33,260","2.68M","1.41%"
"05/18/2023","33,020","32,905","33,040","32,815","1.61M","0.96%"
"05/17/2023","32,705","32,540","32,805","32,530","1.43M","0.32%"
"05/16/2023","32,600","32,720","32,835","32,535","2.08M","0.28%"
"05/15/2023","32,510","32,350","32,510","32,220","2.42M","0.28%"
"05/14/2023","32,420","32,420","32,420","32,420","","0.00%"
"05/12/2023","32,420","32,455","32,580","32,355","1.79M","-0.48%"
"05/11/2023","32,575","32,780","32,895","32,575","2.19M","-0.28%"
"05/10/2023","32,665","32,860","32,860","32,535","2.07M","-0.62%"
"05/09/2023","32,870","32,910","32,925","32,760","2.17M","-0.30%"
"05/08/2023","32,970","32,920","33,070","32,875","2.90M","1.26%"
"05/04/2023","32,560","32,555","32,650","32,455","2.60M","-0.38%"
"05/03/2023","32,685","32,725","32,820","32,620","3.36M","-0.89%"
"05/02/2023","32,980","32,720","32,980","32,675","2.88M","1.09%"
"05/01/2023","32,625","32,625","32,625","32,625","","0.00%"
"04/28/2023","32,625","32,735","32,895","32,490","5.00M","0.20%"
"04/27/2023","32,560","32,470","32,580","32,160","3.01M","-1.02%"
"04/26/2023","32,895","32,905","33,045","32,830","2.08M","-0.11%"
"04/25/2023","32,930","33,430","33,475","32,765","2.88M","-1.26%"
"04/24/2023","33,350","33,470","33,520","33,325","3.20M","-0.68%"
